Service                   | Command                                  | Status     | Error/Notes
----------------------------------------------------------------------------------------------------
acm                       | list-certificates                        | ✅ PASS     | 
apigateway                | get-rest-apis                            | ✅ PASS     | 
apigatewayv2              | get-apis                                 | ✅ PASS     | 
appconfig                 | list-applications                        | ✅ PASS     | 
apprunner                 | list-services                            | ✅ PASS     | 
appsync                   | list-graphql-apis                        | ✅ PASS     | 
athena                    | list-work-groups                         | ✅ PASS     | 
autoscaling               | describe-auto-scaling-groups             | ✅ PASS     | 
backup                    | list-backup-plans                        | ✅ PASS     | 
bcmdataexports            | list-exports                             | ❌ FAIL     | 
bedrock-runtime           | list-custom-models                       | ❌ FAIL     | 
ce                        | get-cost-and-usage --time-period Start=2 | ✅ PASS     | 
cloudformation            | describe-stacks                          | ✅ PASS     | 
cloudfront                | list-distributions                       | ✅ PASS     | 
cloudtrail                | describe-trails                          | ✅ PASS     | 
cloudwatch                | list-metrics                             | ❌ FAIL     | UnknownOperationException (Stub)
codebuild                 | list-projects                            | ✅ PASS     | 
codecommit                | list-repositories                        | ✅ PASS     | 
codedeploy                | list-applications                        | ❌ FAIL     | 
codepipeline              | list-pipelines                           | ✅ PASS     | 
cognito-idp               | list-user-pools                          | ❌ FAIL     | 
config                    | describe-config-rules                    | ❌ FAIL     | 
cur                       | describe-report-definitions              | ✅ PASS     | 
docdb                     | describe-db-clusters                     | ✅ PASS     | 
dynamodb                  | list-tables                              | ✅ PASS     | 
ec2                       | describe-instances                       | ✅ PASS     | 
ecr                       | describe-repositories                    | ✅ PASS     | 
ecs                       | list-clusters                            | ✅ PASS     | 
eks                       | list-clusters                            | ✅ PASS     | 
elasticache               | describe-cache-clusters                  | ✅ PASS     | 
elbv2                     | describe-load-balancers                  | ✅ PASS     | 
emr                       | list-clusters                            | ✅ PASS     | 
events                    | list-event-buses                         | ✅ PASS     | 
firehose                  | list-delivery-streams                    | ✅ PASS     | 
glue                      | get-databases                            | ✅ PASS     | 
iam                       | list-users                               | ✅ PASS     | 
kinesis                   | list-streams                             | ✅ PASS     | 
kms                       | list-keys                                | ✅ PASS     | 
lambda                    | list-functions                           | ✅ PASS     | 
mq                        | list-brokers                             | ✅ PASS     | 
kafka                     | list-clusters                            | ✅ PASS     | 
neptune                   | describe-db-instances                    | ✅ PASS     | 
opensearch                | list-domain-names                        | ✅ PASS     | 
organizations             | describe-organization                    | ✅ PASS     | 
pipes                     | list-pipes                               | ✅ PASS     | 
pricing                   | describe-services --service-code AmazonE | ✅ PASS     | 
rds                       | describe-db-instances                    | ✅ PASS     | 
redshift                  | describe-clusters                        | ✅ PASS     | 
resourcegroupstaggingapi  | get-resources                            | ✅ PASS     | 
route53                   | list-hosted-zones                        | ✅ PASS     | 
s3                        | ls                                       | ✅ PASS     | 
sagemaker                 | list-notebook-instances                  | ✅ PASS     | 
scheduler                 | list-schedules                           | ✅ PASS     | 
secretsmanager            | list-secrets                             | ✅ PASS     | 
ses                       | list-identities                          | ✅ PASS     | 
sns                       | list-topics                              | ✅ PASS     | 
sqs                       | list-queues                              | ✅ PASS     | 
ssm                       | list-commands                            | ✅ PASS     | 
stepfunctions             | list-state-machines                      | ✅ PASS     | 
sts                       | get-caller-identity                      | ✅ PASS     | 
synthetics                | describe-canaries                        | ✅ PASS     | 
textract                  | list-adapters                            | ✅ PASS     | 
transcribe                | list-transcription-jobs                  | ✅ PASS     | 
transfer                  | list-servers                             | ✅ PASS     | 
waf                       | list-web-acls                            | ✅ PASS     | 
xray                      | get-trace-summaries --start-time 1 --end | ✅ PASS     | 
----------------------------------------------------------------------------------------------------
Summary: 60/66 services responded correctly.
